Code,date,y_true,y_pred,residual,abs_residual
640200,2024-12-01,406.0,552.262,-146.26202392578125,146.26202392578125
640300,2023-01-01,50.0,50.539394,-0.5393943786621094,0.5393943786621094
640300,2023-02-01,55.0,46.633694,8.36630630493164,8.36630630493164
640300,2023-03-01,77.0,87.31802,-10.318023681640625,10.318023681640625
640300,2023-04-01,74.0,72.326126,1.6738739013671875,1.6738739013671875
640300,2023-05-01,90.0,89.89197,0.1080322265625,0.1080322265625
640300,2023-06-01,87.0,92.22219,-5.222190856933594,5.222190856933594
640300,2023-07-01,65.0,88.17125,-23.171249389648438,23.171249389648438
640300,2023-08-01,67.0,86.402115,-19.402114868164062,19.402114868164062
640300,2023-09-01,87.0,92.76371,-5.763710021972656,5.763710021972656
640300,2023-10-01,120.0,78.15847,41.841529846191406,41.841529846191406
640300,2023-11-01,125.0,108.602905,16.3970947265625,16.3970947265625
640300,2023-12-01,159.0,145.36429,13.635711669921875,13.635711669921875
640300,2024-01-01,942.0,370.02588,571.97412109375,571.97412109375
640300,2024-02-01,544.0,478.74487,65.255126953125,65.255126953125
640300,2024-03-01,636.0,764.7079,-128.7078857421875,128.7078857421875
640300,2024-04-01,601.0,800.4457,-199.4456787109375,199.4456787109375
640300,2024-05-01,719.0,870.3108,-151.310791015625,151.310791015625
640300,2024-06-01,644.0,841.31665,-197.316650390625,197.316650390625
640300,2024-07-01,613.0,774.3166,-161.31658935546875,161.31658935546875
640300,2024-08-01,787.0,776.7779,10.22210693359375,10.22210693359375
640300,2024-09-01,860.0,923.7708,-63.77081298828125,63.77081298828125
640300,2024-10-01,1121.0,986.3699,134.630126953125,134.630126953125
640300,2024-11-01,1275.0,1170.0045,104.9954833984375,104.9954833984375
640300,2024-12-01,1179.0,1556.0171,-377.01708984375,377.01708984375
640400,2023-01-01,30.0,22.237246,7.762754440307617,7.762754440307617
640400,2023-02-01,41.0,30.953749,10.04625129699707,10.04625129699707
640400,2023-03-01,67.0,50.011494,16.988506317138672,16.988506317138672
640400,2023-04-01,52.0,56.261227,-4.261226654052734,4.261226654052734
640400,2023-05-01,76.0,69.771515,6.228485107421875,6.228485107421875
640400,2023-06-01,64.0,78.67736,-14.677360534667969,14.677360534667969
